,is_good_result,title_length,is_published_in_week_end,days_since_publish_date,has_special_characters_in_title,probably_sex_words_in_title,title_longest_word_length,title_number_words,category_id,likes,dislikes,comment_count,comments_disabled,ratings_disabled,channel_3_standard_deviations,channel_3_mean,channel_3_entropy,channel_2_standard_deviations,channel_2_mean,channel_2_entropy,channel_1_standard_deviations,channel_1_mean,channel_1_entropy,total_standard_deviation,total_mean,total_entropy,video_error_or_removed
7141,ViewsResult.POOR,60,False,753,False,False,8,10,10.0,18166.0,544.0,1351.0,False,False,0.6088594883412838,0.2388888888888889,5.91841708382039,0.8390728275165054,0.4611111111111112,7.722194511300117,1.9627530897588783,1.0194444444444444,6.25599933685733,66.87201523947016,80.48648148148149,6.910429899331835,False
7142,ViewsResult.GOOD,76,False,753,False,False,10,13,26.0,5193.0,706.0,615.0,False,False,0.6741249472052229,1.0333333333333334,5.209778732126739,0.9188987974744554,1.0916666666666666,7.0173566213573535,1.1728375162426263,0.8972222222222223,5.097009781011729,92.7725195891687,132.808487654321,6.240922862753122,False
7144,ViewsResult.MEDIUM,29,False,739,False,False,7,6,10.0,111094.0,2104.0,9925.0,False,False,0.5527079799596809,0.2416666666666667,5.151122715152808,0.7653319702530125,0.3805555555555555,6.700039763086767,1.2520816001097266,0.7083333333333334,4.647663708929901,54.49180981850523,41.079012345679004,5.616255008282296,False
7145,ViewsResult.MEDIUM,65,False,739,False,False,9,12,24.0,55033.0,614.0,2319.0,False,False,0.2060804110110156,0.04444444444444445,5.933043038050778,0.12801909579781012,0.016666666666666666,6.775874950190591,0.3378855822118881,0.05,5.299350694831858,100.36990944953143,136.18891975308642,6.420466756285761,False
7146,ViewsResult.MEDIUM,41,False,739,False,False,10,7,24.0,72455.0,412.0,4001.0,False,False,2.5019606509226784,1.9361111111111111,6.265319438545737,2.17859253466516,1.8388888888888888,7.887773341745938,2.8622907492659326,2.125,6.839994973317914,87.88173362106501,110.62583333333332,7.207558999669155,False
7147,ViewsResult.GOOD,36,False,739,False,False,9,6,10.0,47920.0,335.0,2041.0,False,False,0.0,0.0,3.5753988683998434,0.0,0.0,4.756909527008356,0.0,0.0,2.4604824997457024,110.56431643967298,177.26623456790122,4.226177270531062,False
7148,ViewsResult.GOOD,28,False,739,False,False,9,6,22.0,121470.0,1316.0,9317.0,False,False,1.0613146983288646,0.4166666666666667,5.683294781752895,1.3661895056807083,0.5138888888888888,7.443475241924987,2.075868106374229,0.8277777777777777,6.3579768605637845,70.2839945204866,61.78478395061728,6.68655850885036,False
7149,ViewsResult.MEDIUM,34,False,740,False,False,8,6,24.0,30123.0,197.0,1075.0,False,False,0.4714045207910317,0.3333333333333333,5.087417819118866,0.0,0.0,5.9280678448322535,0.4714045207910317,0.3333333333333333,4.907541981578642,77.65758996347479,129.0375,5.663790402589092,False
7150,ViewsResult.GOOD,42,False,740,False,False,9,8,25.0,13662.0,1563.0,995.0,False,False,0.8308806498655433,0.21388888888888888,5.561999426925587,0.5851492898039138,0.18055555555555555,7.204221096211669,1.0450906688765522,0.2972222222222222,5.996641089757168,85.83980986712805,124.61333333333332,6.525583202579532,False
7151,ViewsResult.MEDIUM,38,False,741,False,False,10,7,23.0,62542.0,6156.0,10424.0,False,False,1.7680266428638862,1.1638888888888892,5.491965734802912,2.0900096727285176,1.5638888888888889,7.672700802341727,2.502207358846717,1.8416666666666663,6.535036899312475,93.28771826335323,103.3281790123457,6.829385363216617,False
